Style,MainMaterial-T,MainMaterialColor-T,BaseMaterial-T,BaseMaterialColor-T,AccentMaterial-T,AccentMaterialColor-T,ColumnStyle-F,ColumnPairing-F,ColumnMat-F,ColumnColor-T,ColumnCapitalStyle-T,ColumnBaseStyle-T,ColumnTopWidth-F,ColumnBaseWidth-F,ColumnPlinthHeight-T,ColumnPlinthStyle-F,PorchStyle-T,PorchSpan-T,PorchSpanProfile-F,RailTop-T,RailBottom-T,RailBal-T,WinStyle-T,WinCombo-F,WinTrimTop-T,WinTrimSide-T,WinTrimBottom-T,WinTrimColor-T,WinShutterColor-T,WinShutter-T,WinKey-T,WinBay-T,DoorStyle-T,DoorTrimTop-T,DoorTrimSide-T,DoorTrimColor-T,DatumSplBase-F,DatumSplTop-F,DatumSplBaseProfile-T,Roof-F,RoofCorniceProfile-F,Chimney-F,EmbedCol-F,Corner-F,Dormer-F,FacadeArtic-F
Bungalow,Siding,Boreal,Brick,Earth,Siding,Earth,Rectangular,Single,Wood,White,Regal,Regal,8,11,38,Royal,Linear,Arch Beam,Default,Default,Default,Default,SH2x-Regal,FALSE,Regal,Regal,Regal,White,None,No,No,FALSE,Default,Regal,Regal,White,38,LevelTop,None,,,,,,,
FarmHouse,Siding BoardBatten,White,None,None,None,None,Rectangular,Single Double,Wood,White,Regal,Regal,8,8,0,None,Linear Wrap,Beam,Thin Beam,Default,Default,Default,SH2x-Regal,FALSE,None,None,None Royal,None White,None,No,No,FALSE,Default,None,None,None,None,None,None,,,,,,,
UrbanBrownstone,Brick,Earth,None Stone,None Desert,None Siding,None Dark,Rectangular,Single,Wood,White,Regal Medium1,Regal Medium1,8,8,0,None,None Portico,None Linear,Medium Beam,Default,Default,Default,SH1x-Regal,True False,Regal Medium,Regal Medium,Regal Medium,White,None,No,Yes,True False,Default,PorchFill,PorchFill,White,None LevelTop,None LevelTop,Medium Royal,,,,,,,
TxHillCountry,Stone,Desert,None,None,None,None,Rectangular,Single Double,Wood,Earth,Regal,Regal,8,8,38,Regal,Linear,Beam Radial,None,None,None,None,SH2x-Regal,FALSE,None,None,None,None,None,No,No,FALSE,Default,None,None,None,None,None,None,,,,,,,
Federal,Brick Siding,Earth White,None,None,None,None,Round,Single,Wood Plaster,White,Medium2 Royal,Medium2 Royal,8,8,0,None,Portico,Arch,None,None,None,None,Fixed1x-Medium,FALSE,Medium Royal,Regal,Medium Royal,Dark,Dark,Yes,Yes,FALSE,Default,PorchFill,PorchFill,White,None,None,None,,,,,,,
Contemporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorthernSeaside ,Shake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrenchStone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
